"","","X-squared","",""
-4895.21379,2709.92571,583.477419918505,1.84940612,0.970375
-4885.09789,2061.9654,34.8539616726415,4.87284601,0.8980625
-4808.55619,1857.43112,20.3942718567757,4.84978266,0.7864375
-4988.88194,2024.43463,29.0738932153881,5.65361506,0.823875
-5020.73895,2191.22828,61.7839790505197,4.47345706,0.7606875
-4952.09332,2129.11003,24.1420784676453,4.59792716,0.8861875
-4710.77263,2104.47802,18.4155532799131,5.07011506,0.805
-4838.6156,1923.30851,41.465516272846,4.56009396,0.91025
-4821.54417,2052.11511,25.2480656254325,5.65864333,0.9130625
-4730.23277,1921.49431,64.0991340957616,5.40280701,0.8670625
-4645.78414,1871.61914,13.4490081265667,5.47911954,0.9395
-4778.06089,1879.80463,56.5988140032932,5.28855798,0.8400625
-5034.53454,2036.35775,35.4141378460046,4.34803392,0.847
-5008.71005,2275.46959,57.6061707237546,5.12604148,0.87
-5197.62712,2251.06174,37.113525823674,4.01939376,0.8653125
-5009.31604,2122.04219,36.6453183905892,4.13211503,0.89075
-4912.12028,1947.11652,32.6773596162659,5.43405382,0.8476875
-4937.56476,2073.04726,30.734559315551,5.73346111,0.887125
-4982.50371,1958.33015,16.1901374411435,4.34674734,0.8199375
-5006.70099,1972.59211,18.5489817579817,3.27565379,0.879125
-4973.24475,2235.13624,26.5252083673098,5.55803199,0.8950625
-4920.55935,2050.70477,35.5369793504199,3.56561712,0.8605
-5081.07452,2065.48883,30.5318501538271,11.16896165,0.7871875
-4754.76477,1962.10915,18.056700632835,4.74545367,0.883375
-4850.46611,2186.42583,17.5431010777619,3.74639298,0.7948125
-5068.77134,2075.11068,35.191620671164,4.28286292,0.882875
-5134.43764,2048.59974,32.4890717876295,11.16991975,0.8558125
-4805.74045,1878.90354,52.669733870475,4.60603169,0.8586875
-5038.43397,2103.24883,41.2865681057967,3.25260138,0.911375
-4898.53539,2006.98282,25.3088309817192,3.48375045,0.8658125
-4977.97141,2053.86349,20.7991309184387,4.09526832,0.866375
-4862.0795,1987.74329,147.967613981642,3.38207362,0.8856875
-4878.22905,1948.1286,11.530708440733,4.43978692,0.844625
-4858.3668,1949.19972,32.0787486291692,4.20367476,0.834875
-4952.0843,1956.07686,78.2967061547149,4.67944409,0.771375
-4986.16435,1918.39223,41.5188245975571,11.12442768,0.92275
-4739.66464,1878.63056,35.8049000028552,3.59023027,0.9145
-4935.77697,2037.5507,24.5851072884572,4.0845029,0.8995625
-5033.09819,2069.62421,22.4464991757449,3.62466306,0.837375
-4682.57095,1870.07969,115.38058736257,3.61422667,0.840125
-5057.07228,2282.76496,26.5599949114591,5.30138687,0.884875
-4879.00154,1873.15553,18.3069238110556,4.09244141,0.89675
-4941.95018,2099.18445,54.9611399441072,5.79210858,0.8261875
-5049.62841,2087.34196,19.4894160332135,5.24705244,0.8411875
-4845.03319,1989.423,23.1939325610349,4.11259402,0.84975
-4823.27741,1868.78801,36.9381297626968,4.36856853,0.884
-4799.91178,1990.90885,66.705033101724,4.88781373,0.848125
-5083.66652,1992.3269,37.689139064131,4.54323634,0.7061875
-4961.32119,2079.62564,22.113703410824,5.0114956,0.8300625
-4949.63956,2084.33248,26.2761079817598,5.77688253,0.767875
-4887.61863,2097.48149,17.9404060493727,3.83262398,0.9223125
-4727.29067,1784.38305,23.1918486109632,4.77162658,0.81175
-4976.87357,1945.22137,34.9476865318089,4.03748277,0.889875
-5024.53462,2065.33107,32.2713813370643,3.6990642,0.8365
-4973.84078,2034.42068,12.2959678411598,4.03027017,0.8138125
-4900.50518,1919.71352,38.1422477029237,4.93008685,0.8445625
-4874.46589,2207.89863,30.8785444163059,7.69249622,0.8800625
-4977.44413,1948.93727,15.8365935292506,3.89467856,0.8515625
-4787.78592,1997.8872,45.5890294736284,3.61203157,0.8323125
-4872.20628,1893.81344,29.9421776359119,4.15755172,0.9108125
-4733.50749,1692.18549,31.7810457456839,4.98111621,0.86075
-4816.38973,1776.88386,14.0417237139882,3.52552563,0.897875
-4833.96704,1836.55856,17.1602193463702,4.19127667,0.899625
-4919.32836,1896.29083,12.5279974200006,4.26965406,0.8805
-4933.15736,2079.54794,90.9424699109114,4.79689321,0.8546875
-4768.52485,1961.5147,18.3452799297179,3.69178973,0.886625
-4946.65374,2105.78883,19.2485920797921,4.42525498,0.88925
-4986.10374,2093.35012,18.4380126714091,6.33030004,0.821875
-4862.55022,2086.85604,35.5298840451812,4.82526043,0.793
-4916.97238,2088.62965,12.2362750741607,4.9625874,0.8320625
-4883.96201,1782.11783,18.1153584335465,5.13454192,0.853875
-4987.99636,2039.20679,43.1995644769822,4.092635,0.883125
-4799.80796,1958.09737,27.4913011630261,5.51915766,0.822375
-4792.69715,1989.14872,39.320941878929,5.12193998,0.899375
-4998.81929,2216.04809,32.4857973027666,4.53513702,0.7805
-5083.57383,2112.82544,59.2922052119909,4.311755,0.8869375
-4983.22986,2112.19677,17.7416932412925,3.89415684,0.8559375
-4888.79569,2133.82502,75.0213743763969,5.06844263,0.876125
-4965.03305,2155.62589,16.5269180032465,6.59803067,0.92025
-4917.31479,2179.91549,34.5825497105903,5.01883583,0.79575
-4839.50633,2026.76897,25.8065418088678,5.26575969,0.837875
-5023.64119,2040.76968,15.0088935736067,4.12780292,0.86175
-4702.19609,1880.6977,16.6923471236377,6.1469004,0.8920625
-5129.59711,1973.54721,19.4331894899189,11.11224764,0.9286875
-4949.19613,2181.05684,16.7096968517372,4.49516545,0.8961875
-4935.16972,1979.63016,47.6955835898949,5.20225197,0.8046875
-4765.52834,1909.99695,10.6808119103227,4.92383993,0.8114375
-4777.2406,2045.71651,26.6229083941954,4.59109021,0.7841875
-4845.37939,1935.27613,7.42242281207692,4.94394976,0.864125
-4666.04464,1886.61304,67.8427000166089,5.3432904,0.8379375
-4675.00522,1850.92954,15.6372079118763,4.66670415,0.8578125
-4940.48422,1975.20257,15.169639233229,4.69570834,0.824875
-4825.74542,1982.59094,21.9511227079664,4.6041234,0.818375
-5032.50307,2104.88052,26.5362878694607,5.00374576,0.8795625
-4824.2371,1961.18397,15.9775212027297,3.82251017,0.7873125
-4814.15772,1740.39045,14.5344145880775,3.15896421,0.8945625
-4784.81627,2003.48183,54.2780565695554,7.12970752,0.8108125
-4875.13868,2074.94999,10.2730498694293,3.48540338,0.9149375
-5051.89533,2053.49327,48.7338628001498,3.93801685,0.83875
-4839.23203,1954.62828,17.2174700789546,4.2929578,0.79875
-4916.3978,1931.26478,98.8926213246239,3.68599273,0.8449375
