"","","X-squared","",""
-4536.06063,2030.90971,162.226785830563,1.62161776,0.9041875
-5115.22883,1417.77743,18.6811154032994,1.73916559,0.8800625
-5442.76151,1796.30826,27.0540869116036,2.08373682,0.9385
-5172.46418,1404.11223,20.6854093014362,1.85070521,0.898125
-4968.20952,1293.33938,26.5179421265689,1.48345901,0.9180625
-5013.21735,1231.66867,37.3811471321805,1.79560721,0.8390625
-5125.37617,1457.47242,9.21482204458277,1.72422119,0.8841875
-5088.39678,1391.47568,6.95825908771508,1.63932602,0.8211875
-5083.81783,1336.68997,7.61245628566475,1.65515004,0.9353125
-5125.21522,1379.44538,10.1972142557975,1.70838655,0.8358125
-5251.61029,1455.92615,31.5635340442338,1.80456916,0.8664375
-5184.6886,1484.89644,32.7517642003152,1.80806865,0.798625
-5066.53067,1525.26337,48.121776125138,1.77934166,0.8489375
-5288.01736,1480.85938,71.674571975585,1.93072085,0.8508125
-5110.33927,1281.84338,40.676398974637,1.73205732,0.870625
-5102.20148,1337.83584,29.5357534983327,1.68759464,0.896625
-5266.73911,1501.23168,34.8744944349088,1.8980644,0.930125
-5101.07283,1368.18914,12.5805708415858,1.83430743,0.9253125
-5151.39715,1469.75215,41.285920286245,1.96625636,0.90125
-5177.173,1427.70819,27.0261535284153,1.65538998,0.9344375
-5045.58922,1322.38087,13.4290015828097,1.86286997,0.8455
-5263.7737,1518.91163,33.4020888836924,1.86775322,0.83575
-5222.05186,1599.58448,6.25097293202784,1.80861479,0.965875
-5112.09949,1402.51914,27.5580905920994,1.87436782,0.891
-5188.38549,1477.49912,32.2589911018744,1.83269045,0.8261875
-5198.26593,1452.20501,39.925275214817,1.86116199,0.881375
-5235.69452,1503.22011,45.2089259850977,1.79851038,0.8550625
-5188.46324,1392.61811,16.0487857533242,1.59514802,0.9470625
-5148.16544,1380.78836,55.8074975976208,1.61191756,0.9404375
-5122.93063,1344.80589,8.67093139151914,1.78396937,0.8064375
-5254.65474,1501.32049,29.8989540902876,1.90189302,0.9341875
-5359.80691,1563.18479,26.808455548695,1.89374433,0.958
-5137.65619,1388.37756,12.6056501574871,1.75967455,0.9339375
-5084.15217,1442.3151,26.8414306996071,1.58263817,0.850875
-5180.12194,1462.33056,39.8152518497701,1.77471601,0.827875
-5226.58855,1498.71119,33.8604434234189,1.69563879,0.92225
-5188.20921,1452.39517,13.5957576676589,1.77004228,0.9269375
-5219.35405,1444.63676,37.0606936613641,1.84240815,0.887625
-5051.21111,1355.28041,9.37536540600706,1.75725043,0.868875
-5249.19994,1500.98019,8.50621377175375,1.90685799,0.9435
-5255.12912,1556.59503,34.7930360346044,1.72090404,0.8300625
-5167.85556,1391.10439,13.9233537597797,1.67460191,0.9026875
-5006.57162,1249.03695,15.9150186885806,1.54727477,0.9406875
-5204.72329,1413.38222,17.2625541933907,1.83889613,0.8986875
-5114.84823,1432.18117,19.6051768145659,1.77443001,0.8638125
-5133.82457,1459.6411,59.0667522053726,1.59338992,0.95075
-5054.9758,1403.38461,59.8332408538904,1.64867136,0.8905
-5463.89885,1649.46727,16.2290783993424,1.82676413,0.9495
-5126.71927,1421.94674,8.02910260900015,1.84134593,0.7725625
-5157.39901,1407.1891,24.2925909810427,1.87024779,0.922125
-5013.39155,1274.08773,42.1094269626195,1.51765587,0.833125
-5253.9525,1492.76255,8.39803515538658,1.85003066,0.8250625
-5405.23214,1638.8059,83.4803156827188,1.86524099,0.8671875
-5346.22856,1627.27914,35.234703302931,1.80526368,0.8988125
-5065.51618,1275.34874,39.8542302376447,1.66004997,0.8065625
-5220.53878,1456.36729,61.0183011409792,1.83839497,0.908375
-5092.19166,1347.61528,16.492164565208,1.63222127,0.90175
-5133.84419,1377.4977,14.1758616266482,1.62047292,0.87875
-5260.64109,1600.59968,30.0519630023475,1.87095967,0.8871875
-5273.26194,1559.96402,18.8111021226013,1.91966998,0.9380625
-5260.45735,1552.54239,30.6790052927701,1.78027164,0.9028125
-5188.51278,1501.15137,16.9114601954936,1.83243036,0.8631875
-5229.23202,1569.71195,23.7247933360771,1.72218565,0.8691875
-5265.38926,1557.3223,15.2867780060952,1.77442881,0.8594375
-5150.72429,1380.81233,29.8124053080883,1.80855444,0.8603125
