"","","X-squared","",""
-6575.16518,10615.78109,3262.60640582628,5.85297328,0.9701875
-6688.93281,9113.32916,38.6167231983646,7.8056743,0.909125
-6664.47398,8896.63459,30.9531239095933,7.68071071,0.92025
-6688.94406,9424.10515,28.213723917312,7.82164976,0.9366875
-6642.71461,8854.44631,52.8253800674063,8.15094376,0.9088125
-6661.97407,9324.26942,62.5437614806068,7.89767518,0.9719375
-6696.77966,9163.7215,31.335886577521,7.56658293,0.9695625
-6643.61887,9058.50916,30.5689216251574,8.05994265,0.86775
-6616.62009,8894.2003,26.1909360274364,7.67776804,0.896375
-6656.91333,8986.51978,30.4480524965821,7.71000482,0.9428125
-6688.62641,9134.47087,36.2256370983277,7.80704205,0.961625
-6711.56755,9311.38593,39.9485297840719,8.296145,0.9610625
-6695.71575,9392.33182,31.9379898375538,7.69196172,0.964
-6688.83178,9217.69041,33.7070233392358,7.91191617,0.9068125
-6718.43124,9386.09684,36.8981236003199,7.84110967,0.86625
-6683.53927,9234.40782,42.6548982285223,7.96430259,0.8559375
-6693.566,9215.30976,30.6653354011517,7.94491485,0.89725
-6698.45006,9155.29717,38.6541835530449,7.700882,0.96525
-6695.8992,9121.6316,56.9007607683504,8.19811872,0.8845
-6584.36569,8931.02415,36.1427023074616,7.04512432,0.9799375
-6730.17709,9381.21996,44.1290024151527,7.99603352,0.865875
-6672.8715,9074.23901,33.2475051499224,8.0975937,0.9699375
-6759.41259,9484.88684,47.4499819866865,7.27867569,0.9085625
-6695.47571,9292.30851,43.3230353261911,8.09498203,0.9415625
-6744.37342,9382.66889,52.1024873540986,7.60318858,0.954
-6687.31079,9130.20992,45.3561081963638,7.78703894,0.961875
-6703.31174,9165.78307,60.7672993810953,8.10416852,0.9156875
-6680.63974,9309.84831,23.9870106288788,7.61725468,0.962375
-6760.61208,9643.93583,44.2601421109723,8.4724542,0.9286875
-6683.46855,9329.5617,51.1204670528928,7.87121799,0.8758125
-6745.98934,9407.20989,45.2621195639214,7.78441364,0.9395625
-6677.74138,8967.12162,45.1664032858037,7.85946739,0.9501875
-6741.81746,9655.54963,33.8194618682687,8.19079905,0.8608125
-6713.29601,9360.77617,32.5687702211558,8.13543699,0.9019375
-6680.25363,9276.68929,31.5678904917979,8.49977725,0.9415625
-6680.46695,9154.70994,33.8175069124928,7.07133854,0.9491875
-6612.37831,9265.43458,83.918331782237,7.4869243,0.913
-6752.97536,9232.36538,64.0712214276407,8.70979543,0.8814375
-6735.60569,9470.81556,30.9041343166554,7.67647194,0.954125
-6698.60583,8986.76705,26.7053126928129,8.04535388,0.9416875
-6755.31194,9496.44389,21.5316364765229,8.18094881,0.9069375
-6750.15347,9094.81752,35.8495198275008,7.71675484,0.8869375
-6667.76189,9221.19216,34.190858524235,7.61071575,0.8991875
-6713.28484,9385.06655,47.6148712293129,7.95282931,0.8873125
-6680.00736,9108.23387,35.3389007440572,7.59993584,0.949
-6671.85255,9113.07995,31.5972813296596,7.85181994,0.9343125
-6675.16715,9169.09025,32.6926148530763,7.57079325,0.942375
-6727.82705,9369.06442,34.7429699013676,8.32122843,0.974
-6744.58431,9337.17231,45.5294247217991,8.38860182,0.8741875
-6698.89387,9483.52346,35.7699524077693,7.8751629,0.9853125
-6688.07382,9132.36449,28.7946804609796,7.29576737,0.924375
-6726.69545,9371.56423,38.8461855265405,7.95937561,0.9454375
-6657.55833,8941.71855,29.0484281192976,6.75106941,0.9141875
-6720.51084,9272.68225,41.2702821736439,7.84087815,0.9135
-6731.58407,9244.15685,52.7604976497597,7.46085241,0.9199375
-6723.44686,9271.77287,41.4497436676165,7.90322364,0.9004375
-6688.18207,9046.13447,45.7291898065745,7.45072278,0.9746875
-6689.70146,9288.71756,38.9981306484044,8.04365616,0.9545625
-6676.58745,9229.57042,51.0814531635193,8.19262194,0.8576875
-6731.18337,9376.54112,55.9513766782755,7.88334211,0.902125
-6683.37288,9340.73711,40.2652329473857,7.78780229,0.8813125
-6695.23761,8893.59157,34.6808021317212,7.33006992,0.878
-6704.55568,9144.67161,46.6577957528095,7.90169142,0.9676875
-6726.33165,9353.35488,38.2382773989528,8.02453656,0.8349375
-6689.90293,9154.69514,34.0176931820541,7.80992766,0.93275
-6772.12891,9367.69198,35.5033885875661,7.65210936,0.856125
-6611.69233,8743.9787,12.3115558871546,7.17447946,0.907375
-6670.46129,9081.32174,23.3555005655361,8.52943712,0.8670625
-6748.53636,9583.34267,36.6599349271965,7.70973536,0.9528125
-6680.55255,9309.96851,23.1698648266044,7.66644125,0.9628125
-6618.56567,8873.996,32.8764051821599,8.29018303,0.9025625
-6674.37252,9145.03766,39.6608379823233,7.24386833,0.93225
-6722.42935,9065.84999,67.3508853211047,7.56017054,0.9159375
-6625.08217,9057.26618,24.4029571750637,8.48280381,0.83925
-6705.36317,9556.98664,32.550256226281,8.236023,0.948125
-6695.83007,9249.5731,40.4417916713762,7.74619479,0.8869375
-6783.03581,9305.26115,31.9811313938656,8.02929661,0.9010625
-6642.09744,8947.30714,51.0628992211208,7.5316055,0.9240625
-6767.0066,9563.24494,46.3816547037318,8.29088145,0.89125
-6699.72982,9222.12641,54.2194108646615,7.71504824,0.968
-6675.17003,9049.60446,41.0501363407497,7.88044402,0.962125
-6638.00017,9109.45896,31.2388521613876,7.45330102,0.92775
-6708.32356,9317.45469,30.2228345163879,7.26704788,0.9529375
-6704.42757,9289.49744,24.6675202967335,7.76503923,0.920125
-6642.23569,9024.60511,28.4164784762709,8.1083775,0.8601875
-6721.6074,9267.21395,42.9035846060991,7.74808637,0.976125
-6722.80512,9418.30103,47.2783755035889,8.57512528,0.900625
-6655.50011,9021.63612,37.7096885587427,7.51879258,0.942
-6661.41267,9471.32955,48.9445859746493,8.63224673,0.9639375
-6596.98675,8787.27607,38.636040059527,7.09752603,0.96375
-6664.23592,9081.76925,31.6901349029056,7.96042033,0.9513125
-6730.17109,9436.70524,44.476101157786,7.94707898,0.973
-6750.08211,9573.90618,31.2654422046985,8.09279439,0.887
-6637.95184,9100.11035,45.6016753978153,8.33590753,0.96975
-6690.57231,9337.89677,51.7470509052312,7.89354111,0.93025
-6693.03084,9246.41926,30.5521754390144,7.93002439,0.859875
-6700.53965,9317.85879,47.6394899229188,7.97752235,0.9404375
-6711.88746,9469.10841,42.9571088316872,7.64747821,0.95525
-6693.12988,9243.25917,24.7366250881369,8.25366898,0.9619375
-6688.59886,9279.08273,24.8637589610785,8.23495405,0.96175
-6681.75882,9258.90919,24.3257309575695,7.25760436,0.9075625
