"","","X-squared","",""
-6675.87662,10218.52308,4055.93193745088,5.72797624,0.939625
-6722.49085,9344.49856,36.2267640848968,7.82192325,0.936
-6693.58826,8839.77584,24.3640498472861,7.04883736,0.955875
-6717.99322,9302.87844,41.5398760166773,7.15665093,0.968625
-6756.19779,9273.06499,42.0858278590662,7.43881488,0.9301875
-6800.28876,9366.63917,58.5225728944149,7.83478596,0.8613125
-6708.57378,8757.78579,25.6416569545859,6.91778102,0.863
-6795.06033,9688.43686,28.7575436131549,7.67902726,0.9155
-6774.26402,9583.80512,25.2995208279691,7.3153981,0.9180625
-6679.21866,9021.86814,33.0578164069586,7.0778913,0.9280625
-6671.19329,8775.07466,28.8315166750084,6.63823584,0.937375
-6728.67732,9101.20718,41.5962572555927,7.39049192,0.914125
-6771.8971,9283.90309,44.9356798811853,6.80030904,0.9759375
-6743.15897,9294.31197,23.9593492190455,7.04818737,0.9293125
-6782.08944,9462.06521,32.6318370938632,6.97585581,0.959375
-6795.75282,9651.75856,46.4073919633315,7.39619603,0.9586875
-6791.4629,9509.81805,39.4575580578478,7.80938112,0.9555625
-6801.54257,9383.56374,23.4446311957001,8.04967665,0.9108125
-6708.4774,9524.2967,36.1352504890955,7.80376557,0.9610625
-6753.85821,9233.51688,54.2878447639298,6.81783118,0.9705
-6732.80532,9227.14843,26.1519248740248,7.15850749,0.9296875
-6791.60815,9595.4014,25.5146711030534,7.84092692,0.9546875
-6699.59021,9259.33313,39.6555376082489,7.07626023,0.8976875
-6719.44051,9244.03303,35.5576520532558,7.62440783,0.865625
-6718.22162,8980.27657,30.9348538339295,6.62284698,0.95075
-6751.98063,9557.41934,26.1853109045046,7.14959528,0.8540625
-6754.78642,9364.01375,41.3099682058337,6.61184882,0.9353125
-6761.37835,9098.65015,24.6859780632737,6.89749949,0.91875
-6776.65253,9257.84846,29.2018936750541,7.3106521,0.933125
-6782.60673,9680.74067,42.317325160207,7.01985881,0.984375
-6726.3739,8918.47186,33.5724083919687,6.86730381,0.9225625
-6792.67959,9374.78055,29.9310378228921,7.48763732,0.803875
-6673.35051,8862.26353,37.3161190188765,6.30214493,0.9343125
-6717.85282,9409.23997,36.6849796013714,7.4959478,0.911875
-6753.43643,9551.20742,30.2863079307572,7.67226829,0.9669375
-6704.37658,8761.10453,43.1076654496682,6.72696542,0.9245
-6779.8493,9536.21065,31.5512995938536,7.33465891,0.86875
-6731.68681,9373.27771,30.2755469330731,7.06069758,0.921875
-6725.20441,9044.35018,51.7219207060902,7.33110513,0.9484375
-6681.33945,9005.69347,38.536117883171,6.88256167,0.950375
-6712.69428,9021.13451,44.3490997910429,7.04430215,0.9591875
-6725.71818,9219.53447,24.7533639412363,7.14264715,0.9598125
-6746.00651,9246.37522,29.7504225142677,6.9597204,0.9203125
-6767.33004,9778.05755,28.4191575716662,7.86014468,0.932625
-6700.5508,9231.75777,27.8768887505053,7.13910479,0.9755
-6742.93005,9419.1166,60.74506641633,7.44236215,0.9745
-6731.6896,9317.54755,53.3295384478005,7.18598255,0.865875
-6749.9569,9093.48761,40.5764709921939,6.87445042,0.9205625
-6751.49753,9335.44248,29.7346347164854,7.56671118,0.9466875
-6714.46846,9223.97499,36.8168609491453,7.27790123,0.965375
-6787.17942,9393.14156,37.8694868761313,7.560041,0.9405
-6798.2879,9619.61017,34.675865953198,7.57540208,0.87525
-6749.06474,9308.77827,42.1054730250054,7.19582731,0.923375
-6785.4545,9345.92956,63.8610403840824,6.93226052,0.956125
-6737.33106,9284.27478,50.5226119824134,7.17285673,0.8815625
-6755.76382,9329.04395,41.6582811222605,6.8495892,0.96525
-6726.85214,9032.88943,41.0821861425713,6.67412962,0.9593125
-6802.53391,9663.48564,42.1811462369547,8.19971637,0.9556875
-6821.11218,10023.40718,47.026537777307,8.00938651,0.8925625
-6763.58532,9120.40347,20.7398122797768,7.12846626,0.938
-6753.06322,9388.28983,30.343260548335,6.9470938,0.9618125
-6719.54125,9118.83006,30.3641652552131,6.77654221,0.8749375
-6731.29261,9343.93414,51.8917636158283,7.01353283,0.9575625
-6758.21845,9453.5715,37.9887888144632,7.39158399,0.960875
-6684.69744,8861.49311,55.3651584928903,7.03740581,0.96275
-6720.70696,9161.00541,37.2504646635117,7.23327694,0.9140625
-6788.67921,9563.26326,29.5123505009885,6.82466977,0.879875
-6731.12502,9620.38799,41.2139496868076,7.86218828,0.9540625
-6776.88384,9316.62258,27.1410094560099,7.08426645,0.910625
-6759.85349,9408.30522,31.9773188537874,7.05038582,0.9355625
-6712.20001,9071.50291,36.1587275295954,7.12122175,0.928375
-6765.89684,9503.13899,60.7742464595717,7.68724989,0.8984375
-6698.69781,9067.97472,43.9911206916078,6.85991668,0.949375
-6771.75795,9337.60479,21.3904541176368,7.34667695,0.88025
-6750.23858,9282.49024,56.3242033378819,6.91743238,0.9555
-6757.70249,9155.18422,29.6753639292156,6.56239553,0.916
-6728.438,9410.71618,45.1100657458473,7.54331162,0.972875
-6685.55078,9332.56511,24.8584295455242,7.47537211,0.8991875
-6766.6798,9284.09653,48.4109204428498,7.24582898,0.9661875
-6688.62089,8919.87063,48.733244087473,6.67128086,0.970125
-6731.08612,9166.85244,34.9787231458448,6.76558857,0.933
-6758.70566,9223.1174,24.3609364454228,6.78328237,0.9073125
-6688.14583,9167.46445,54.2233634900215,7.54248973,0.9650625
-6722.40551,9454.5559,37.6225446044997,7.33344391,0.894875
