"","","X-squared","",""
-6747.76569,11407.25725,3619.37015296853,6.34844772,0.9205
-6906.36898,11571.36496,39.0556342449666,6.58610353,0.9935
-6907.75528,11308.55056,59.977337332717,6.44900841,0.974
-6904.45944,11704.31759,37.6010798244533,6.61275282,0.9149375
-6907.75528,11608.0078,25.3666734916352,6.67575894,0.9605625
-6907.75528,11345.2581,42.5993708986873,6.40991176,0.97825
-6906.36898,11776.19104,31.4389571448579,6.73449514,0.986375
-6903.07315,11283.13425,28.0724790616205,6.25476177,0.9854375
-6907.75528,11196.08809,38.5743382037552,6.29008388,0.96775
-6906.36898,11270.61875,46.0014576115702,6.4790839,0.9686875
-6903.5964,10929.51984,47.0206227729311,6.30858666,0.97575
-6907.75528,10960.22641,34.2120609585655,6.01684072,0.97325
-6904.98269,11356.91247,45.6480680835785,6.28924894,0.9845625
-6898.05122,11396.94193,28.7324860304202,6.37806101,0.9723125
-6903.07315,11291.75267,34.2874870630313,6.44929087,0.9249375
-6904.45944,11411.38601,25.8850262037284,6.43691604,0.944875
-6906.36898,11261.71672,46.5935079630213,6.3816292,0.98525
-6903.5964,10926.71153,26.9916204883774,6.16103963,0.94575
-6906.36898,12010.48498,57.2702828009829,6.86852047,0.969125
-6906.36898,11424.55219,37.8029269162544,6.5521848,0.9580625
-6907.75528,11188.94213,22.6190335976343,6.47919112,0.984875
-6904.98269,10968.37233,35.1498593049281,6.11658545,0.9798125
-6907.75528,11301.37429,48.5605095216601,6.36718963,0.9870625
-6903.07315,11573.87991,36.6217573075154,6.53521678,0.936625
-6903.5964,11221.64252,48.9489222592842,6.30136443,0.94375
-6904.98269,11515.01026,35.335939325476,6.30747054,0.9844375
-6902.2101,10726.29557,35.8667564682121,5.78339334,0.965875
-6904.98269,11594.51943,51.734074668863,6.70745564,0.97825
-6907.75528,11729.60796,36.4943567553805,6.75502341,0.972875
-6906.36898,11245.78413,31.9838289247681,6.26036134,0.981875
-6906.36898,11439.43966,43.9121376671649,6.33593564,0.9866875
-6906.36898,11610.89446,34.0047905323219,6.61777014,0.932625
-6907.75528,11476.40532,38.764524428002,6.45774146,0.968125
-6907.75528,11618.69857,56.3453405305898,6.64326804,0.9788125
-6904.98269,11104.89792,37.3079889791514,6.28474471,0.911875
-6903.5964,11427.98181,38.4370625295858,6.70547474,0.979375
-6903.5964,11339.38955,49.7232604151766,6.57133121,0.9758125
-6904.98269,11524.87132,33.4095387548903,6.52688953,0.9785
-6904.98269,11506.55289,56.4913976128202,6.67596506,0.966875
-6907.75528,11499.56091,47.7161707642554,6.57699374,0.9709375
-6907.75528,11472.15125,31.7458770236946,6.70072725,0.98
-6902.2101,11283.77323,34.8003931102946,6.20088468,0.932875
-6904.45944,11063.87025,36.5307536266558,6.22959111,0.91425
-6904.98269,11141.9096,34.4182240551814,6.14115296,0.9780625
-6906.36898,11419.58619,26.6893749352849,6.54370188,0.9456875
-6906.36898,11901.1789,51.1381919034091,6.63539776,0.957125
-6906.36898,11574.47126,46.5563369408543,6.53158374,0.9840625
-6906.36898,11731.78867,46.3909888059422,6.74863152,0.9678125
-6907.75528,11813.02952,41.9739345258126,6.83332678,0.979875
-6904.98269,11341.51908,31.1857568827053,6.33185802,0.9866875
-6904.98269,11554.18628,40.7069858349767,6.53320624,0.960125
