"","","X-squared","",""
-4574.51618,2284.82944,79.2252818851714,1.61314243,0.827125
-4744.79127,1758.77877,14.3025032435067,4.77864268,0.8450625
-4468.69329,1794.54933,37.4684160281383,7.48613067,0.79775
-4488.26651,1835.79527,13.889130373568,9.05829221,0.7558125
-4382.23634,1824.06717,21.7437831289963,6.557697,0.784125
-4516.27246,1985.57966,10.9698935746029,5.4256526,0.86125
-4313.30853,1646.558,21.1530591357633,5.98817255,0.9033125
-4475.41703,1942.10556,159.24787211543,10.82366234,0.8083125
-4414.97426,1622.79998,18.8511381610524,8.14360883,0.9054375
-4632.97205,2191.16981,17.9112135015139,8.93625273,0.724875
-4566.56744,2092.70572,35.0545477890902,5.25344294,0.854625
-4504.55941,1770.89954,14.551179156925,6.73555597,0.843
-4518.47004,1905.13287,46.7572283734082,5.54759575,0.84175
-4504.03562,1847.67618,13.8752167238938,6.77522195,0.845375
-4371.53348,1544.85854,14.6862066470315,5.77950434,0.75925
-4643.21657,1960.73782,12.8282653856042,5.06200573,0.86475
-4612.11431,1810.59177,37.4088174071564,4.94390819,0.7749375
-4387.07714,1658.64353,25.7062668160783,6.44187002,0.9335625
-4680.6128,1913.69079,30.9648874930851,5.16389604,0.8013125
-4395.55168,1708.57001,34.2029307822574,5.09917726,0.8946875
-4359.11149,1755.53306,17.1172257198565,5.73295998,0.91
-4461.64879,1812.74349,58.4316814236295,6.68596179,0.8091875
-4500.1396,1950.82928,34.1546959164294,7.05935611,0.7725625
-4588.41276,1644.66704,50.2634071691883,4.96411,0.7845
-4501.66094,1764.16765,13.1634424135718,5.58167243,0.8471875
-4473.19718,1949.28979,34.1578770346331,10.24059069,0.6555625
-4537.26979,1884.42151,25.7275713911676,3.9259286,0.8730625
-4519.04743,1925.18219,32.0740170261526,5.83511659,0.8169375
-4410.60021,1632.70369,12.820126192974,5.77911957,0.7776875
-4494.30515,1736.8141,23.8917975384923,5.39333998,0.82775
-4364.75118,1795.10723,28.0190670740458,4.34817737,0.9344375
-4369.992,1704.73619,15.9732993844025,5.76266245,0.7285
-4469.72884,1901.40094,18.5372529822139,5.73234047,0.87975
-4646.81926,1920.32368,25.4264368277847,5.59219458,0.806875
-4473.72946,1805.92909,84.3312834619882,5.76536771,0.715125
-4556.26421,1784.89734,38.7863920451304,4.59644627,0.80075
-4371.35899,1825.79397,14.3191179226265,6.97899443,0.772
-4606.90938,1816.04313,25.9495755225663,4.81099449,0.817625
-4385.63975,1724.70765,23.9735145343478,7.69012679,0.8928125
-4506.12176,1930.92022,37.0332651908877,6.1507481,0.789375
-4459.09921,1840.48194,15.1179111033496,3.9619336,0.94225
-4428.38674,1615.81922,61.3814220085695,4.12999614,0.841125
-4429.79243,1846.33675,16.4068538822127,11.05775785,0.932625
-4587.58297,1880.68931,19.0149936966029,6.0549758,0.7965
-4711.48336,1885.31894,16.2894743501403,6.4231847,0.8134375
-4802.70854,1931.24374,40.8205418344762,6.00543865,0.820125
-4416.39294,1768.6616,21.5045755969055,6.62254156,0.8645
-4524.64045,1836.95257,33.5343505152307,10.54680812,0.9376875
-4346.3398,1753.27838,7.72594893147328,9.71280093,0.723875
-4544.91716,1914.99274,44.7566309793989,5.65028243,0.814
-4577.19532,1877.89238,21.3219569743,5.2926732,0.88175
-4527.37292,1793.77144,18.6422455736898,7.48730625,0.8596875
