"","","X-squared","",""
-6364.36026,8691.94288,42.9723851708016,4.08565989,0.936529411764706
-6852.66121,8161.07715,44.3869270063454,4.1080993,0.968941176470588
-6837.10414,7993.18537,34.0989805609842,3.92328609,0.969764705882353
-6864.00423,8350.36624,48.7596631887718,4.11708858,0.951823529411765
-6837.63754,7867.429,34.3682574314505,3.88763863,0.970294117647059
-6834.52515,8035.17504,44.4110754797339,3.93997903,0.971058823529412
-6850.48109,8651.29191,30.7792092402224,4.25001534,0.988705882352941
-6864.5967,8475.12759,22.6045622044779,4.1124364,0.982941176470588
-6847.18525,8039.91797,31.9634848151691,3.94385669,0.943705882352941
-6857.95371,8224.94588,35.7113606468241,4.11859244,0.965470588235294
-6884.52807,8576.43878,23.7641125837558,4.19136159,0.979588235294118
-6841.45662,8423.81577,29.4350953333033,4.19206452,0.959294117647059
-6877.86718,8600.98985,18.1725584023001,4.23536385,0.973647058823529
-6839.06884,8023.36419,29.2481020927123,3.95814146,0.939117647058824
-6837.04507,8459.91482,30.6332299492854,4.18326397,0.923470588235294
-6858.45906,8087.07322,26.4935475707332,3.98337864,0.978235294117647
-6866.3228,8329.66476,31.0020628321916,4.13920956,0.98
-6804.10661,7799.29775,43.4932393966244,3.79322007,0.988529411764706
-6857.14198,8351.40166,34.4462970654431,4.1886356,0.983470588235294
-6849.88862,8139.28585,40.6662059589832,3.99237572,0.979588235294118
-6874.75479,8397.46867,23.5649635044888,4.10508055,0.982529411764706
-6865.66111,8328.8782,17.9060894998686,4.20058009,0.970823529411765
-6847.96117,8131.22399,47.6212682589417,3.97675152,0.991235294117647
-6869.88921,8468.98964,25.805329940088,4.17425652,0.975882352941176
-6858.45906,7970.46031,27.727078428913,3.93956501,0.922235294117647
-6834.58137,8142.74096,23.2075856929462,4.05579276,0.932529411764706
-6869.27883,8682.84673,21.6947889349289,4.28856829,0.995705882352941
-6867.18584,8765.98636,27.2286734966726,4.38044905,0.967529411764706
-6867.02949,8245.17204,30.4133953772595,4.10495853,0.970823529411765
-6842.92814,7918.10822,36.9521949191779,3.87185253,0.980411764705882
-6834.02901,7935.80198,24.4502060248752,3.88256481,0.979588235294118
-6823.38454,7710.39757,31.3573417902272,3.76764198,0.994470588235294
-6876.73355,8660.51774,27.6693943614959,4.26306549,0.941117647058824
-6873.43772,8405.49697,30.6026452782216,4.14050316,0.978117647058824
-6852.29241,8237.27818,29.6663593512892,4.09614964,0.959411764705882
-6849.4525,8305.39723,23.6274726871794,4.08954691,0.966352941176471
-6836.60705,8326.67669,34.2575984517754,4.08553104,0.983176470588235
-6834.22747,8152.35634,47.9570843956314,3.99997033,0.968647058823529
-6874.20254,8359.12728,24.6305315562348,4.19930432,0.928352941176471
-6871.45895,8665.70856,29.1919533004896,4.31855353,0.928588235294118
-6869.61863,8451.42836,36.8493810473022,4.18440734,0.969941176470588
-6836.22703,7789.77813,37.62837675701,3.79731607,0.979411764705882
