"","stationary","tree.length","replicate","estimation.method","estimation.model","multinomial.likelihood.p.value","chisq.p.value","consistency.index.p.value","delta.p.value"
"statlong.1.Lboot.gtrg.cvs","stat","long","1","Lboot","gtrg","0.535911511911661","0.400525028800073",NA,"3.80227294094482e-10"
"statlong.1.Lboot.jc.cvs","stat","long","1","Lboot","jc","0","0.66047253489756",NA,"0.236702840895204"
"statlong.10.Lboot.gtrg.cvs","stat","long","10","Lboot","gtrg","0.446677631516743","0.411960923543771",NA,"1.90161749680229e-08"
"statlong.10.Lboot.jc.cvs","stat","long","10","Lboot","jc","0","0.574868090098672",NA,"0.0816259023807822"
"statlong.2.Lboot.gtrg.cvs","stat","long","2","Lboot","gtrg","0.538059365580664","0.705624231748407",NA,"6.63947818946298e-09"
"statlong.2.Lboot.jc.cvs","stat","long","2","Lboot","jc","0","0.752657482372922",NA,"0.137730124250507"
"statlong.3.Lboot.gtrg.cvs","stat","long","3","Lboot","gtrg","0.407542504586342","0.0487084718159647",NA,"1.41264717923306e-07"
"statlong.3.Lboot.jc.cvs","stat","long","3","Lboot","jc","0","0.107370024663346",NA,"0.0479062857437688"
"statlong.4.Lboot.gtrg.cvs","stat","long","4","Lboot","gtrg","0.360939194877138","0.889982399109249",NA,"1.33405230196004e-08"
"statlong.4.Lboot.jc.cvs","stat","long","4","Lboot","jc","0","0.951203826791333",NA,"0.0900096796209247"
"statlong.5.Lboot.gtrg.cvs","stat","long","5","Lboot","gtrg","0.347443740521718","0.146924523855026",NA,"1.32104327477123e-11"
"statlong.5.Lboot.jc.cvs","stat","long","5","Lboot","jc","0","0.207122441980218",NA,"0.254774381840813"
"statlong.6.Lboot.gtrg.cvs","stat","long","6","Lboot","gtrg","0.831198605340718","0.500218926860175",NA,"1.4760392907931e-10"
"statlong.6.Lboot.jc.cvs","stat","long","6","Lboot","jc","0","0.684927787445124",NA,"0.162114975244263"
"statlong.7.Lboot.gtrg.cvs","stat","long","7","Lboot","gtrg","0.354006158599058","0.451384038882137",NA,"6.93736179613325e-11"
"statlong.7.Lboot.jc.cvs","stat","long","7","Lboot","jc","0","0.620320759225686",NA,"0.077553064423499"
"statlong.8.Lboot.gtrg.cvs","stat","long","8","Lboot","gtrg","0.553742874342407","0.0948623641789293",NA,"2.5093226385664e-09"
"statlong.8.Lboot.jc.cvs","stat","long","8","Lboot","jc","0","0.141926631659101",NA,"0.371990182638293"
"statlong.9.Lboot.gtrg.cvs","stat","long","9","Lboot","gtrg","0.642893733130269","0.648379121967175",NA,"1.36405542416895e-09"
"statlong.9.Lboot.jc.cvs","stat","long","9","Lboot","jc","0","0.783973802746336",NA,"0.157206814525528"
"statshort.1.Lboot.gtrg.cvs","stat","short","1","Lboot","gtrg","0.537112338556667","0.564986847192815",NA,"0.00345110500261026"
"statshort.1.Lboot.jc.cvs","stat","short","1","Lboot","jc","0.656243330687846","0.611253230598489",NA,"0.000755089874882819"
"statshort.10.Lboot.gtrg.cvs","stat","short","10","Lboot","gtrg","0.000150240289638282","0.890635920996637",NA,"1.94594184244057e-06"
"statshort.10.Lboot.jc.cvs","stat","short","10","Lboot","jc","0.475100714125707","0.459728084436957",NA,"0.00315214602616454"
"statshort.2.Lboot.gtrg.cvs","stat","short","2","Lboot","gtrg","0.00202579291785876","0.29101053416635",NA,"5.18470006927174e-08"
"statshort.2.Lboot.jc.cvs","stat","short","2","Lboot","jc","0.587055052494482","0.227820266264276",NA,"0.000496998424034722"
"statshort.3.Lboot.gtrg.cvs","stat","short","3","Lboot","gtrg","8.01850694177597e-05","0.522267296123397",NA,"2.17210592468042e-06"
"statshort.3.Lboot.jc.cvs","stat","short","3","Lboot","jc","0.634798629889822","0.746942546605304",NA,"0.00456852870189406"
"statshort.4.Lboot.gtrg.cvs","stat","short","4","Lboot","gtrg","0.000661567098810045","0.948288537850066",NA,"5.38716096176728e-08"
"statshort.4.Lboot.jc.cvs","stat","short","4","Lboot","jc","0.531216341604717","0.056418301578775",NA,"0.00143309174592254"
"statshort.5.Lboot.gtrg.cvs","stat","short","5","Lboot","gtrg","0.000811468321611941","0.631069372836043",NA,"1.6105431112079e-06"
"statshort.5.Lboot.jc.cvs","stat","short","5","Lboot","jc","0.601532734256428","0.823988741132081",NA,"0.00135942303221193"
"statshort.6.Lboot.gtrg.cvs","stat","short","6","Lboot","gtrg","0.000824032285294374","0.210677242915947",NA,"2.03576864278299e-05"
"statshort.6.Lboot.jc.cvs","stat","short","6","Lboot","jc","0.512592203117988","0.151707974858572",NA,"0.00218357052088536"
"statshort.7.Lboot.gtrg.cvs","stat","short","7","Lboot","gtrg","0.000580226170488474","0.254372061571791",NA,"1.24423533820472e-06"
"statshort.7.Lboot.jc.cvs","stat","short","7","Lboot","jc","0.539535505626793","0.551329517354442",NA,"0.0131787726460891"
"statshort.8.Lboot.gtrg.cvs","stat","short","8","Lboot","gtrg","0.024625236926641","0.706073721189393",NA,"4.9853242145792e-05"
"statshort.8.Lboot.jc.cvs","stat","short","8","Lboot","jc","0.571277828821405","0.508681993646109",NA,"0.000810249503561233"
"statshort.9.Lboot.gtrg.cvs","stat","short","9","Lboot","gtrg","0.00160395109515132","0.795286364319184",NA,"2.93532902917448e-06"
"statshort.9.Lboot.jc.cvs","stat","short","9","Lboot","jc","0.48516857027529","0.778212948490199",NA,"0.00362211938927559"
